Date,Stock_Return,Excess_Return,Mkt-RF,SMB,HML,RMW,CMA,Mom,RF
2024-03-27,0.02121244208531503,0.021012442085315032,0.0088,0.0129,0.0091,-0.002,0.0058,-0.0137,0.0002
2024-03-28,-0.010559155139424292,-0.010759155139424293,0.0011,0.0046,0.0048,-0.0001,0.0009,-0.0043,0.0002
2024-04-01,-0.00845575932902276,-0.008655759329022761,-0.0026,-0.009000000000000001,-0.0028000000000000004,0.0034000000000000002,-0.0032,0.0026,0.0002
2024-04-02,-0.006998781992209269,-0.007198781992209268,-0.0085,-0.0103,0.0003,0.0029,0.0005,0.0026,0.0002
2024-04-03,0.0047973779096968094,0.00459737790969681,0.0017000000000000001,0.0031,-0.0003,0.0,-0.0019,0.0068000000000000005,0.0002
2024-04-04,-0.004892309544345164,-0.005092309544345163,-0.012199999999999999,0.0021,0.0015,-0.0002,0.0007000000000000001,-0.009899999999999999,0.0002
2024-04-05,0.004501814842648999,0.004301814842648999,0.0106,-0.0052,-0.0068000000000000005,-0.0036,-0.0058,0.0146,0.0002
2024-04-08,-0.006663516390456592,-0.006863516390456592,0.0001,0.0054,0.0014000000000000002,-0.0024,0.001,-0.0060999999999999995,0.0002
2024-04-09,0.007242441912852282,0.0070424419128522825,0.0013,0.0031,-0.0032,-0.0015,0.0006,-0.0138,0.0002
2024-04-10,-0.011139062685944667,-0.011339062685944668,-0.01,-0.015700000000000002,-0.0104,0.0033,-0.0044,0.0083,0.0002
2024-04-11,0.04327081579258496,0.04307081579258496,0.0073,0.0005,-0.0062,0.0012,-0.0053,0.0129,0.0002
2024-04-12,0.008626584052663366,0.008426584052663366,-0.015300000000000001,-0.0036,0.0011,0.006500000000000001,-0.0024,-0.0004,0.0002
2024-04-15,-0.02186350131775472,-0.022063501317754718,-0.0129,-0.0024,0.0075,0.008199999999999999,0.0042,-0.0027,0.0002
2024-04-16,-0.019167398219477327,-0.019367398219477326,-0.0023,-0.0028000000000000004,-0.008199999999999999,0.0,-0.0026,0.0068000000000000005,0.0002
2024-04-17,-0.008147327994428077,-0.008347327994428078,-0.0064,-0.0038,0.005600000000000001,-0.0031,0.0053,-0.0092,0.0002
2024-04-18,-0.005714370185268769,-0.005914370185268769,-0.0027,-0.0009,0.0087,0.0001,0.0028000000000000004,-0.005699999999999999,0.0002
2024-04-19,-0.012212490501268047,-0.012412490501268048,-0.008199999999999999,0.0125,0.019,-0.0004,0.0129,-0.018500000000000003,0.0002
2024-04-22,0.005090855447134057,0.004890855447134058,0.0087,-0.0012,0.0054,-0.0024,-0.0001,0.0052,0.0002
2024-04-23,0.0063916092618898634,0.006191609261889864,0.0127,0.0055000000000000005,0.0,-0.0028000000000000004,-0.0060999999999999995,0.0127,0.0002
2024-04-24,0.01270249420494518,0.01250249420494518,-0.0001,-0.0029,0.0027,0.0027,-0.0003,-0.0060999999999999995,0.0002
2024-04-25,0.0051472779869607965,0.004947277986960797,-0.004699999999999999,-0.0039000000000000003,-0.002,0.0038,-0.0008,0.0,0.0002
2024-04-26,-0.0034729022376658314,-0.0036729022376658315,0.0103,0.0021,-0.010700000000000001,0.0002,-0.0043,0.011699999999999999,0.0002
2024-04-29,0.024808044540281404,0.024608044540281405,0.0033,0.0034000000000000002,-0.0048,0.0019,-0.0012,-0.0098,0.0002
2024-04-30,-0.018270738404299602,-0.0184707384042996,-0.0167,-0.0027,-0.0025,-0.0059,0.0062,-0.0054,0.0002
2024-05-01,-0.006047253084913162,-0.006247253084913162,-0.0027,0.009399999999999999,0.0003,-0.0134,0.0006,-0.0027,0.0002
